candles

open;close;high;low;value;volume;begin;end
12.08;12.08;12.08;12.08;3636.08;301;2025-09-17 10:45:00;2025-09-17 10:45:59
12.08;12.08;12.08;12.08;24.16;2;2025-09-17 10:46:00;2025-09-17 10:46:59
12.09;12.09;12.09;12.09;12.09;1;2025-09-17 10:49:00;2025-09-17 10:49:59
12.1;12.1;12.1;12.1;459.8;38;2025-09-17 10:52:00;2025-09-17 10:52:59
12.1;12.1;12.1;12.1;15294.4;1264;2025-09-17 10:53:00;2025-09-17 10:53:59
12.1;12.1;12.1;12.1;350.9;29;2025-09-17 10:55:00;2025-09-17 10:55:59
12.1;12.1;12.1;12.1;205.7;17;2025-09-17 10:56:00;2025-09-17 10:56:59
12.1;12.1;12.11;12.1;14580.86;1205;2025-09-17 10:58:00;2025-09-17 10:58:59
12.12;12.12;12.12;12.12;1212;100;2025-09-17 10:59:00;2025-09-17 10:59:59
12.12;12.11;12.12;12.11;133.25;11;2025-09-17 11:00:00;2025-09-17 11:00:59
12.12;12.12;12.12;12.12;24.24;2;2025-09-17 11:01:00;2025-09-17 11:01:59
12.1;12.1;12.1;12.1;7320.5;605;2025-09-17 11:02:00;2025-09-17 11:02:59
12.1;12.1;12.1;12.1;19081.7;1577;2025-09-17 11:03:00;2025-09-17 11:03:59
12.1;12.1;12.1;12.1;12.1;1;2025-09-17 11:05:00;2025-09-17 11:05:59
12.1;12.1;12.1;12.1;2420;200;2025-09-17 11:06:00;2025-09-17 11:06:59
12.09;12.09;12.09;12.09;88788.96;7344;2025-09-17 11:08:00;2025-09-17 11:08:59
12.09;12.09;12.09;12.09;683423.5199999998;56528;2025-09-17 11:09:00;2025-09-17 11:09:59
12.09;12.09;12.09;12.09;391123.59;32351;2025-09-17 11:10:00;2025-09-17 11:10:59
12.09;12.09;12.09;12.09;282035.52;23328;2025-09-17 11:11:00;2025-09-17 11:11:59
12.09;12.09;12.09;12.09;157847.04;13056;2025-09-17 11:12:00;2025-09-17 11:12:59
12.09;12.08;12.09;12.07;54637.22;4522;2025-09-17 11:13:00;2025-09-17 11:13:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 11:14:00;2025-09-17 11:14:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 11:15:00;2025-09-17 11:15:59
12.08;12.08;12.08;12.08;1208000;100000;2025-09-17 11:17:00;2025-09-17 11:17:59
12.08;12.07;12.08;12.07;1208458.66;100038;2025-09-17 11:19:00;2025-09-17 11:19:59
12.07;12.08;12.08;12.07;1327.86;110;2025-09-17 11:20:00;2025-09-17 11:20:59
12.07;12.07;12.07;12.07;555.22;46;2025-09-17 11:22:00;2025-09-17 11:22:59
12.08;12.08;12.08;12.08;120.8;10;2025-09-17 11:25:00;2025-09-17 11:25:59
12.08;12.08;12.08;12.08;434.88;36;2025-09-17 11:26:00;2025-09-17 11:26:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 11:27:00;2025-09-17 11:27:59
12.08;12.08;12.08;12.08;15087.92;1249;2025-09-17 11:28:00;2025-09-17 11:28:59
12.08;12.08;12.08;12.08;144.96;12;2025-09-17 11:29:00;2025-09-17 11:29:59
12.08;12.09;12.09;12.08;48.35;4;2025-09-17 11:31:00;2025-09-17 11:31:59
12.07;12.08;12.08;12.07;7930;657;2025-09-17 11:32:00;2025-09-17 11:32:59
12.08;12.08;12.08;12.08;193.28;16;2025-09-17 11:33:00;2025-09-17 11:33:59
12.08;12.08;12.08;12.08;1208;100;2025-09-17 11:36:00;2025-09-17 11:36:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 11:37:00;2025-09-17 11:37:59
12.08;12.08;12.08;12.08;1208000;100000;2025-09-17 11:38:00;2025-09-17 11:38:59
12.08;12.08;12.08;12.08;60.4;5;2025-09-17 11:39:00;2025-09-17 11:39:59
12.07;12.07;12.07;12.07;12.07;1;2025-09-17 11:40:00;2025-09-17 11:40:59
12.08;12.08;12.08;12.08;60.4;5;2025-09-17 11:42:00;2025-09-17 11:42:59
12.07;12.07;12.07;12.07;120.7;10;2025-09-17 11:43:00;2025-09-17 11:43:59
12.07;12.08;12.08;12.07;24.15;2;2025-09-17 11:45:00;2025-09-17 11:45:59
12.08;12.08;12.08;12.08;169.12;14;2025-09-17 11:47:00;2025-09-17 11:47:59
12.09;12.09;12.09;12.09;24.18;2;2025-09-17 11:49:00;2025-09-17 11:49:59
12.09;12.09;12.09;12.09;120.9;10;2025-09-17 11:50:00;2025-09-17 11:50:59
12.07;12.07;12.07;12.07;120.69999999999999;10;2025-09-17 11:52:00;2025-09-17 11:52:59
12.07;12.07;12.07;12.07;2474.35;205;2025-09-17 11:55:00;2025-09-17 11:55:59
12.08;12.08;12.08;12.08;507.36;42;2025-09-17 11:56:00;2025-09-17 11:56:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 11:58:00;2025-09-17 11:58:59
12.08;12.08;12.08;12.08;1208;100;2025-09-17 11:59:00;2025-09-17 11:59:59
12.08;12.07;12.08;12.07;11872.599999999999;983;2025-09-17 12:01:00;2025-09-17 12:01:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 12:02:00;2025-09-17 12:02:59
12.08;12.08;12.08;12.08;24619.04;2038;2025-09-17 12:04:00;2025-09-17 12:04:59
12.07;12.07;12.07;12.07;12.07;1;2025-09-17 12:05:00;2025-09-17 12:05:59
12.07;12.07;12.07;12.06;17114.98;1418;2025-09-17 12:06:00;2025-09-17 12:06:59
12.07;12.07;12.07;12.07;48.28;4;2025-09-17 12:07:00;2025-09-17 12:07:59
12.06;12.06;12.06;12.06;12.06;1;2025-09-17 12:08:00;2025-09-17 12:08:59
12.06;12.08;12.08;12.06;4222.5199999999995;350;2025-09-17 12:10:00;2025-09-17 12:10:59
12.08;12.08;12.08;12.08;604;50;2025-09-17 12:12:00;2025-09-17 12:12:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 12:14:00;2025-09-17 12:14:59
12.06;12.04;12.06;12.04;4478391.409999998;371650;2025-09-17 12:15:00;2025-09-17 12:15:59
12.04;12.04;12.04;12.04;108.36;9;2025-09-17 12:16:00;2025-09-17 12:16:59
12.04;12.04;12.04;12.04;264.88;22;2025-09-17 12:17:00;2025-09-17 12:17:59
12.04;12.05;12.05;12.04;4169.1;346;2025-09-17 12:19:00;2025-09-17 12:19:59
12.09;12.09;12.09;12.09;580.32;48;2025-09-17 12:22:00;2025-09-17 12:22:59
12.08;12.08;12.08;12.08;6040;500;2025-09-17 12:23:00;2025-09-17 12:23:59
12.06;12.06;12.06;12.06;12.06;1;2025-09-17 12:24:00;2025-09-17 12:24:59
12.08;12.08;12.08;12.08;60.4;5;2025-09-17 12:26:00;2025-09-17 12:26:59
12.08;12.06;12.08;12.06;2111.54;175;2025-09-17 12:27:00;2025-09-17 12:27:59
12.08;12.08;12.08;12.08;157.04;13;2025-09-17 12:32:00;2025-09-17 12:32:59
12.06;12.08;12.08;12.06;2424.1;201;2025-09-17 12:33:00;2025-09-17 12:33:59
12.06;12.06;12.06;12.06;12.06;1;2025-09-17 12:35:00;2025-09-17 12:35:59
12.06;12.06;12.06;12.06;12.06;1;2025-09-17 12:36:00;2025-09-17 12:36:59
12.08;12.08;12.08;12.08;48.32;4;2025-09-17 12:40:00;2025-09-17 12:40:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 12:41:00;2025-09-17 12:41:59
12.06;12.05;12.06;12.05;5665.75;470;2025-09-17 12:42:00;2025-09-17 12:42:59
12.08;12.08;12.08;12.08;1932.8000000000002;160;2025-09-17 12:44:00;2025-09-17 12:44:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 12:45:00;2025-09-17 12:45:59
